Keyword,Country code,Location,Entities,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current URL,Current URL inside,Updated,Navigational,Informational,Commercial,Transactional,Branded,Local
russia 5/36 predictions,ZA,South Africa,"Gosloto 5/36 (Event), Russia (Location)","Sitelinks, Video preview",100,18,,0,0,31,https://www.betway.co.za/luckynumbers,,2025-09-10 5:26:20,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
lotto plus today,ZA,South Africa,Lotto Plus (Event),"People also ask, Top stories, Thumbnail, Sitelinks",100,59,,0,0,47,https://www.betway.co.za/luckynumbers,,2025-09-05 5:44:08,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
powerball draw days south africa,ZA,South Africa,"Powerball (Event), South Africa (Location)","Featured snippet, People also ask, Video preview",100,53,,0,0,41,https://www.betway.co.za/luckynumbers,,2025-09-10 0:13:42,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
bonus games on hollywoodbets,ZA,South Africa,Hollywoodbets (Organization),"Featured snippet, People also ask",100,65,,0,0,26,https://www.betway.co.za/lobby/casino%20games,,2025-09-09 13:17:39,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
www.hollywood.com register,ZA,South Africa,Hollywoodbets (Organization),"People also ask, Video preview",100,60,0.18,0,0,32,https://www.betway.co.za/Account/SignUp,,2025-09-06 16:48:44,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
huawei sandton city,ZA,South Africa,"Huawei (Organization), Sandton City (Location)","Top ads, Sitelinks, Video preview",100,3,0.02,0,0,77,https://www.betway.co.za/,,2025-08-28 10:25:38,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
register on hollywood,ZA,South Africa,Hollywoodbets (Organization),"People also ask, Video preview, Sitelinks",100,56,0.1,0,0,42,https://www.betway.co.za/account/loginform,,2025-09-11 23:52:24,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
daily lotto live draw,ZA,South Africa,Daily Lotto (Event),"People also ask, Sitelinks, Video preview",100,67,,0,0,52,https://www.betway.co.za/luckynumbers,,2025-09-03 20:34:08,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
lotto results yesterday night south africa,ZA,South Africa,South Africa (Location),"Sitelinks, People also ask",100,66,,0,0,35,https://www.betway.co.za/luckynumbers,,2025-09-06 13:57:29,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
south africa no deposit bonus,ZA,South Africa,South Africa (Location),Sitelinks,100,67,0.38,0,0,73,https://www.betway.co.za/,,2025-09-07 22:03:06,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
health lottery 5/50 results history,ZA,South Africa,Health Lottery (Event),Sitelinks,100,36,,0,0,22,https://www.betway.co.za/luckynumbers,,2025-08-28 9:56:29,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
irish daily evening results,ZA,South Africa,,"Sitelinks, People also ask, Video preview",100,56,,0,0,37,https://www.betway.co.za/luckynumbers,,2025-09-04 7:26:36,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
superbet register login,ZA,South Africa,Supabets (Organization),"Sitelinks, People also ask, Top stories",100,59,0.11,0,0,21,https://www.betway.co.za/account/loginform,,2025-08-28 10:15:43,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
prediction for uk 49 today,ZA,South Africa,UK 49 (Event),"Thumbnail, Video preview",100,42,,0,0,47,https://www.betway.co.za/luckynumbers,,2025-09-06 11:28:31,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
bolt email address for drivers,ZA,South Africa,Bolt email address (Product),"People also ask, Sitelinks, Video preview",100,0,0.05,0,0,51,https://www.betway.co.za/sport/soccer/eng/league_one/bolton_wanderers-v-afc_wimbledon/0,,2025-09-07 13:31:28,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
gbets south africa,ZA,South Africa,"Gbets (Organization), South Africa (Location)","Sitelinks, Knowledge panel",100,56,0.3,0,0,37,https://www.betway.co.za/,,2025-08-31 7:34:53,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
nedbank running club,ZA,South Africa,Nedbank Running Club (Organization),"Sitelinks, People also ask, Video preview",100,0,,0,0,47,https://www.betway.co.za/event/inplay,,2025-09-08 1:53:32,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
sports streaming south africa,ZA,South Africa,South Africa (Location),"People also ask, Sitelinks, Video preview",100,50,0.21,0,0,41,https://www.betway.co.za/Event/LiveSport,,2025-09-09 21:57:59,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
tubidy co.za,ZA,South Africa,Tubidy (Organization),"Sitelinks, Video preview",100,7,0.05,0,0,46,https://www.betway.co.za/Betway-App,,2025-09-08 14:33:49,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
uk lunchtime results uk lunchtime results,ZA,South Africa,UK 49's Lunchtime Results (Event),"Sitelinks, Video preview",100,73,,0,0,38,https://www.betway.co.za/luckynumbers,,2025-08-30 1:32:09,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
hollywoodbets deposit bonus,ZA,South Africa,Hollywoodbets (Organization),"People also ask, Video preview",100,58,0.32,0,0,38,https://www.betway.co.za/account/loginform,,2025-09-14 23:39:36,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
french plus results,ZA,South Africa,French Lotto Plus (Event),Sitelinks,100,76,,0,0,35,https://www.betway.co.za/luckynumbers,,2025-09-14 3:34:42,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
how to unlock hollywood account,ZA,South Africa,,"Featured snippet, People also ask, Discussions and forums, Sitelinks, Video preview",100,38,0.31,0,0,37,https://www.betway.co.za/latestpromos,,2025-09-03 3:30:18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
all results,ZA,South Africa,,"Sitelinks, Video preview",100,82,,0,0,66,https://www.betway.co.za/LiveScores,,2025-09-14 14:41:08,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
download vodapay app apk,ZA,South Africa,Vodapay app (Product),"Sitelinks, Video preview",100,1,0.04,0,0,36,https://www.betway.co.za/Betway-App,,2025-09-07 8:34:10,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
latest lotto results south africa today,ZA,South Africa,South Africa (Location),"Knowledge card, People also ask, Sitelinks",100,64,,0,0,39,https://www.betway.co.za/luckynumbers,,2025-09-01 16:49:27,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
how to reverse a debit order nedbank,ZA,South Africa,Nedbank (Organization),"AI Overview, Thumbnail, People also ask, Video preview, Sitelinks",100,0,,0,0,84,https://www.betway.co.za/Account/LoginConfirmation,,2025-08-28 18:51:46,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
france lotto results for yesterday predictions,ZA,South Africa,France Lotto (Event),Video preview,100,70,,0,0,34,https://www.betway.co.za/luckynumbers,,2025-09-12 11:04:24,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
hollywood lotto star,ZA,South Africa,"LottoStar (Organization), Hollywood (Location)","Sitelinks, People also ask, Video preview",100,49,0.2,0,0,35,https://www.betway.co.za/account/loginform,,2025-08-29 7:23:11,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
hollywoodbets teatime results,ZA,South Africa,"Hollywoodbets (Organization), UK49s Teatime Results (Event)","Sitelinks, Video preview",100,70,,0,0,31,https://www.betway.co.za/luckynumbers,,2025-09-09 5:47:11,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
powerball app download south africa,ZA,South Africa,"Powerball app (Product), South Africa (Location)",People also ask,100,34,0.08,0,0,29,https://www.betway.co.za/luckynumbers,,2025-09-07 10:22:50,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
book a bet hollywoodbets,ZA,South Africa,Hollywoodbets (Organization),"People also ask, Sitelinks, Video preview",100,61,0.21,0,0,28,https://www.betway.co.za/Account/LoginConfirmation,,2025-09-08 21:11:05,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
uk49s teatime results yesterday,ZA,South Africa,UK 49's Teatime (Event),"Sitelinks, Video preview",100,72,,0,0,38,https://www.betway.co.za/luckynumbers,,2025-09-08 11:09:40,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
europa casino registration bonus,ZA,South Africa,Europa Casino (Organization),"Sitelinks, People also ask",100,49,0.38,0,0,57,https://www.betway.co.za/,,2025-09-03 15:27:32,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
uk kwick pick,ZA,South Africa,"Kwik Pick (Product), UK 49s Kwik Pick (Event)",Sitelinks,100,40,,0,0,45,https://www.betway.co.za/luckynumbers,,2025-09-09 2:41:13,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
matola,ZA,South Africa,Matola (Location),"Thumbnail, People also ask, Video preview, Knowledge panel",100,0,0.09,0,0,84,https://www.betway.co.za/sport/soccer/mozambique/mocambola/desportivo_da_matola-v-ferroviario_de_maputo/0?datefilter=202509071445&eventId=8dfd8082-2477-4c28-b048-07e13e8c1550,,2025-09-08 19:13:45,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
online south african casino,ZA,South Africa,,"Sitelinks, Video preview",100,85,0.98,0,0,23,https://www.betway.co.za/lobby/casino-games/slots,,2025-09-11 23:10:18,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2 numbers plus bonus lotto payout south africa,ZA,South Africa,South Africa (Location),People also ask,100,52,,0,0,20,https://www.betway.co.za/luckynumbers,,2025-08-31 23:44:11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
hollywoodbets super league live scores,ZA,South Africa,Hollywoodbets Super League (Event),"Thumbnail, Sitelinks, Video preview",100,39,1.14,0,0,36,https://www.betway.co.za/LiveScores,,2025-09-06 13:53:49,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
huawei app gallery apk,ZA,South Africa,Huawei AppGallery (Product),"Sitelinks, Bottom ads, Paid sitelinks",100,52,,0,0,51,https://www.betway.co.za/Betway-App,,2025-09-08 6:54:30,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
powerball prediction for the next draw,ZA,South Africa,,"Sitelinks, Video preview",100,30,,0,0,46,https://www.betway.co.za/luckynumbers,,2025-09-01 16:35:31,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
www.national lottery.co.za,ZA,South Africa,Ithuba National Lottery (Organization),"Sitelinks, Video preview",100,54,0.15,0,0,36,https://www.betway.co.za/luckynumbers,,2025-07-03 16:04:34,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
xhosa books pdf free download,ZA,South Africa,,Sitelinks,100,0,0.25,0,0,96,https://www.betway.co.za/lobby/casino%20games,,2025-09-08 15:57:38,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
status saver whatsapp,ZA,South Africa,"Status Saver (Product), WhatsApp (Product)","Top ads, Paid sitelinks, Video preview, Sitelinks, Bottom ads",100,0,0.04,0,0,59,https://www.betway.co.za/account/loginform,,2025-09-09 7:54:41,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
uk49s 2021,ZA,South Africa,UK 49s (Event),"Sitelinks, Video preview",100,61,,0,0,49,https://www.betway.co.za/luckynumbers,,2025-09-09 4:14:09,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
hollywoodbets ussd code,ZA,South Africa,Hollywoodbets (Organization),"Featured snippet, People also ask, Sitelinks, Video preview",100,24,,0,0,33,https://www.betway.co.za/Account/LoginConfirmation,,2025-09-01 18:45:40,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
durban july race 7,ZA,South Africa,"Durban July (Event), Race 7 (Event)","Sitelinks, People also ask, Video preview",100,5,,0,0,28,https://www.betway.co.za/Horseracing,,2025-09-05 3:10:54,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
uk49 bonus for today,ZA,South Africa,UK 49s (Event),Video preview,100,55,,0,0,36,https://www.betway.co.za/luckynumbers,,2025-09-05 16:55:09,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
jet x hollywoodbets,ZA,South Africa,"Hollywoodbets (Organization), JetX (Work)","Sitelinks, People also ask, Video preview",100,34,0.19,0,0,46,https://www.betway.co.za/lobby/casino%20games,,2025-09-13 15:04:34,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
uk49 lunchtime quick pick,ZA,South Africa,UK 49s Lunchtime (Event),People also ask,100,10,,0,0,32,https://www.betway.co.za/luckynumbers,,2025-09-04 19:45:15,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
correct score other,ZA,South Africa,,"People also ask, Video preview, Sitelinks",100,54,0.26,0,0,27,https://www.betway.co.za/betting-rules-and-tips,,2025-09-09 5:12:34,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
easyplay bet login,ZA,South Africa,Easybet (Organization),"Top ads, Sitelinks, People also ask, Bottom ads, Paid sitelinks",100,76,0.18,0,0,25,https://www.betway.co.za/lobby/casino-games,,2025-09-09 12:08:18,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
bet shows,ZA,South Africa,BET shows (Work),"Sitelinks, People also ask, Thumbnail, Video preview",100,78,,0,0,67,https://www.betway.co.za/lobby/casino-games,,2025-09-09 23:53:33,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
deportivo cali,ZA,South Africa,Deportivo Cali (Organization),"Knowledge panel, Sitelinks, Video preview, Thumbnail",100,2,,0,0,47,https://www.betway.co.za/sport/soccer/col/liga_femenina/asociacion_deportivo_cali-v-ca_nacional_sa/0?datefilter=202509030000&eventId=2b28a3d0-b009-40da-97f6-72b42dde579f,,2025-09-03 7:48:14,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
number of draws in lotto meaning,ZA,South Africa,,"People also ask, Sitelinks, Video preview",100,52,,0,0,22,https://www.betway.co.za/luckynumbers,,2025-09-05 0:04:34,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
sporting post tips turffontein,ZA,South Africa,"Sporting Post (Organization), Turffontein (Location)","Sitelinks, Video preview",100,64,,0,0,26,https://www.betway.co.za/Horseracing,,2025-08-28 11:41:36,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
south africa daily lotto results history,ZA,South Africa,"Daily Lotto (Event), South Africa (Location)",People also ask,100,67,,0,0,46,https://www.betway.co.za/luckynumbers,,2025-08-31 22:38:38,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
hollywood contact number south africa,ZA,South Africa,"Hollywoodbets (Organization), South Africa (Location)",Featured snippet,100,47,,0,0,24,https://www.betway.co.za/,,2025-09-03 16:57:26,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
lunchtime and teatime results 2016,ZA,South Africa,,"Sitelinks, Video preview",100,13,,0,0,56,https://www.betway.co.za/account/loginform,,2025-09-03 7:57:24,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
live soccer match,ZA,South Africa,,"Sitelinks, Videos, Video preview",100,84,0.02,0,0,30,https://www.betway.co.za/Event/LiveSport,,2025-09-09 14:29:36,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
flash airtime machine,ZA,South Africa,Flash Machine (Product),"People also ask, Sitelinks, Video preview",100,0,0.05,0,0,64,https://www.betway.co.za/lobby/casino-games/slots,,2025-09-06 1:12:20,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
december srd payment dates,ZA,South Africa,Social Relief of Distress Grant (Product),"AI Overview, Thumbnail, People also ask, Video preview",100,0,,0,0,94,https://www.betway.co.za/account/loginform,,2025-08-31 20:21:48,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
how to check my tv licence balance,ZA,South Africa,,"AI Overview, Thumbnail, Sitelinks, People also ask, Discussions and forums, Video preview",100,0,0.01,0,0,71,https://www.betway.co.za/lobby/betgames,,2025-09-07 11:02:53,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
russia latest results 6/45,ZA,South Africa,"Gosloto 6/45 (Event), Russia (Location)",Video preview,100,43,,0,0,63,https://www.betway.co.za/luckynumbers,,2025-09-09 21:37:11,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
hollywood cell phone betting,ZA,South Africa,Hollywoodbets (Organization),"People also ask, Sitelinks",100,55,,0,0,32,https://www.betway.co.za/Betway-App,,2025-09-04 0:45:02,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
az alkmaar players,ZA,South Africa,AZ Alkmaar (Organization),"Video preview, Knowledge panel",100,0,,0,0,56,"https://www.betway.co.za/sport/soccer/netherlands/eredivisie,_women/az_alkmaar-v-hera_united/0?datefilter=202509071430&eventId=99db6357-0a01-4144-9507-147709a61f66",,2025-09-07 14:32:12,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
prediction gosloto 6/45,ZA,South Africa,Gosloto 6/45 (Event),Video preview,100,0,,0,0,82,https://www.betway.co.za/luckynumbers,,2025-09-11 3:44:00,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
install hollywood app,ZA,South Africa,Hollywoodbets App (Product),"Sitelinks, People also ask, Video preview",100,43,0.02,0,0,45,https://www.betway.co.za/account/loginform,,2025-09-06 1:10:17,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
manisa futbol kulübü standings,ZA,South Africa,Manisa Futbol Kulübü (Organization),Video preview,100,0,,0,0,41,https://new.betway.co.za/livescores,,2025-08-28 14:24:05,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
sa main lotto results,ZA,South Africa,SA Lotto (Event),Sitelinks,100,68,,0,0,35,https://www.betway.co.za/luckynumbers,,2025-09-12 18:02:58,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
lazio rome v ssc napoli,ZA,South Africa,"Lazio (Organization), SSC Napoli (Organization)","Video preview, Sitelinks",100,44,,0,0,29,https://www.betway.co.za/blog/january-2024/serie-a-lazio-v-napoli,,2025-09-01 5:21:30,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
play store for huawei,ZA,South Africa,"Huawei (Organization), Google Play Store (Product)","AI Overview, Thumbnail, People also ask, Video preview",100,1,0.01,0,0,57,https://www.betway.co.za/Betway-App,,2025-08-29 0:12:04,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
hollywood aviator demo,ZA,South Africa,"Aviator (Work), Hollywood (Location)",Video preview,100,70,0.24,0,0,24,https://www.betway.co.za/lobby/casino-games/launchgame/casino-games/trending/aviator,,2025-09-09 16:09:14,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
mtn8 draw,ZA,South Africa,MTN8 (Event),"Sitelinks, Thumbnail, Knowledge panel, People also ask, Video preview, Top stories",100,0,0.01,0,0,62,https://www.betway.co.za/sport,,2025-09-10 9:32:30,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
lotto lotto plus 1&2,ZA,South Africa,"Lotto (Event), Lotto Plus 1 (Event), Lotto Plus 2 (Event)","Sitelinks, Video preview",100,59,,0,0,45,https://www.betway.co.za/luckynumbers,,2025-09-07 5:57:52,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
emperors palace contact number,ZA,South Africa,Emperors Palace (Location),"Knowledge card, People also ask, Knowledge panel, Video preview",100,50,0.17,0,0,100,https://new.betway.co.za/lobby/casino-games/game/emperors-palace?vertical=casino-games,,2025-09-08 19:50:24,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
france 5/49 plus results history,ZA,South Africa,"France 5/49 Plus (Event), France (Location)","Sitelinks, People also ask, Video preview",100,73,,0,0,27,https://www.betway.co.za/luckynumbers,,2025-09-08 17:49:29,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
lu results for today 2021,ZA,South Africa,,"Sitelinks, Video preview",100,74,,0,0,36,https://www.betway.co.za/luckynumbers,,2025-09-04 17:35:21,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
uk 49 history result,ZA,South Africa,UK 49s (Event),"Sitelinks, Video preview",100,75,,0,0,48,https://www.betway.co.za/luckynumbers,,2025-08-30 19:22:51,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
today's powerball results south africa,ZA,South Africa,"Powerball (Event), South Africa (Location)","Knowledge card, Sitelinks, Top stories, Thumbnail, People also ask, Video preview",100,50,,0,0,43,https://www.betway.co.za/luckynumbers,,2025-09-06 19:39:52,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
atalanta bc v juventus turin,ZA,South Africa,"Atalanta BC (Organization), Juventus Turin (Organization)",Video preview,100,49,,0,0,55,https://www.betway.co.za/book-a-bet-results,,2025-08-29 19:43:21,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
free 1voucher,ZA,South Africa,1Voucher (Product),"AI Overview, Thumbnail, Sitelinks, People also ask, Video preview",100,17,0.03,0,0,38,https://www.betway.co.za/latestpromos,,2025-09-09 19:13:54,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
toll free number for vodacom,ZA,South Africa,Vodacom (Organization),"People also ask, Knowledge panel, Video preview",100,3,0.22,0,0,88,https://www.betway.co.za/contactpage,,2025-08-30 5:04:17,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
uk 49 results for lunchtime,ZA,South Africa,UK 49's Lunchtime (Event),"Sitelinks, Video preview",100,72,0.04,0,0,45,https://www.betway.co.za/luckynumbers,,2025-09-08 3:32:13,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
teatime and lunch results history,ZA,South Africa,,"Sitelinks, Video preview",100,73,,0,0,55,https://www.betway.co.za/luckynumbers,,2025-09-03 3:21:55,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
change hollywood password,ZA,South Africa,Hollywoodbets (Organization),"People also ask, Video preview",100,32,,0,0,23,https://www.betway.co.za/how-to-reset-password,,2025-09-07 10:55:18,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
lotsa slots,ZA,South Africa,Lotsa Slots (Product),"Sitelinks, People also ask, Thumbnail, Video preview",100,21,0.5,0,0,25,https://www.betway.co.za/lobby/casino-games/slots,,2025-09-13 8:48:35,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
lunchtime previous results,ZA,South Africa,,Sitelinks,100,67,,0,0,36,https://www.betway.co.za/luckynumbers,,2025-09-04 14:22:02,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
hollywoodbets app south africa,ZA,South Africa,"Hollywoodbets app (Product), South Africa (Location)","Sitelinks, People also ask, Video preview",100,40,0.31,0,0,40,https://www.betway.co.za/Account/LoginConfirmation,,2025-09-03 3:39:05,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
mtn8 cup,ZA,South Africa,MTN8 (Event),"People also ask, Sitelinks, Knowledge panel, Video preview",100,11,0.32,0,0,61,https://www.betway.co.za/blog/august-2019/2019-mtn8-cup-quarter-finals-take-centre-stage,,2025-09-08 11:49:05,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
4 20 gosloto results,ZA,South Africa,Gosloto 4/20 (Event),"Sitelinks, Video preview",100,23,,0,0,26,https://www.betway.co.za/luckynumbers,,2025-09-11 23:56:04,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
funky hats at crazy store,ZA,South Africa,Crazy Store (Organization),"Sitelinks, Thumbnail, Video preview",100,0,0.12,0,0,48,https://www.betway.co.za/lobby/casino-games,,2025-08-31 4:43:38,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
uk49teatime results today,ZA,South Africa,UK49s Teatime (Event),"Sitelinks, Video preview",100,72,,0,0,65,https://www.betway.co.za/luckynumbers,,2025-08-29 15:04:29,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
www.hollywood .net,ZA,South Africa,Hollywoodbets (Organization),"Video preview, Top stories",100,62,0.01,0,0,32,https://www.betway.co.za/account/loginform,,2025-09-09 1:04:10,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
nine casino,ZA,South Africa,Nine Casino (Organization),"Thumbnail, Sitelinks, People also ask, Video preview",100,61,0.48,0,0,20,https://www.betway.co.za/lobby/casino-games/jackpotslots,,2025-09-12 3:51:41,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
new year bash,ZA,South Africa,New Year's Bash (Event),"Thumbnail, Video preview",100,12,0.13,0,0,70,https://www.betway.co.za/lobby/casino-games,,2025-09-04 20:44:02,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
live psl games,ZA,South Africa,Premier Soccer League (Organization),"Sitelinks, Video preview",100,65,0.33,0,0,56,https://www.betway.co.za/sport,,2025-09-08 18:44:57,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
how to buy soccer tickets online in south africa,ZA,South Africa,,"Sitelinks, People also ask, Video preview",100,51,0.07,0,0,55,https://www.betway.co.za/,,2025-09-03 14:06:20,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
gos 7-49,ZA,South Africa,Gosloto 7/49 (Event),Video preview,100,40,,0,0,67,https://www.betway.co.za/luckynumbers,,2025-09-11 18:55:08,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
corinthians fc table,ZA,South Africa,Corinthians FC (Organization),"Sitelinks, Knowledge panel",100,21,,0,0,61,https://www.betway.co.za/Event/LiveSport,,2025-09-07 13:51:03,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
sa.powerball,ZA,South Africa,SA Powerball (Event),"Knowledge card, Sitelinks, Knowledge panel, Top stories, Thumbnail, Video preview",100,52,,0,0,29,https://www.betway.co.za/luckynumbers,,2025-09-08 10:12:09,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
how to cashout on hollywoodbets,ZA,South Africa,Hollywoodbets (Organization),"Featured snippet, People also ask, Video preview, Sitelinks",100,21,0.36,0,0,33,https://www.betway.co.za/cash-out,,2025-09-08 21:18:37,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
daily lotto numbers for today,ZA,South Africa,,"Top stories, Thumbnail, People also ask, Sitelinks, Video preview",100,70,,0,0,43,https://www.betway.co.za/luckynumbers,,2025-09-09 17:06:24,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
hollywoodbets.net login password on my account,ZA,South Africa,hollywoodbets.net (Organization),"Sitelinks, People also ask",100,39,,0,0,29,https://www.betway.co.za/account/loginform,,2025-09-05 10:50:32,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
uk49s lunch time results,ZA,South Africa,UK 49's Lunchtime (Event),"Sitelinks, Video preview",100,73,0.01,0,0,35,https://www.betway.co.za/luckynumbers,,2025-08-29 23:34:15,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
russia gosloto 4 20,ZA,South Africa,"Gosloto 4/20 (Event), Russia (Location)","Sitelinks, Video preview",100,23,,0,0,40,https://www.betway.co.za/luckynumbers,,2025-09-05 23:08:26,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
ethiopian premier league standings,ZA,South Africa,Ethiopian Premier League (Event),"Sitelinks, Knowledge panel, People also ask, Video preview",100,0,,0,0,61,https://www.betway.co.za/sport,,2025-09-08 14:42:06,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
new.hollywoodbet.net,ZA,South Africa,new.hollywoodbet.net (Organization),Video preview,100,62,,0,0,41,https://www.betway.co.za/,,2025-09-08 11:25:48,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
how to change hollywood username and password,ZA,South Africa,,"Featured snippet, People also ask, Video preview",100,28,,0,0,30,https://www.betway.co.za/Account/ManagePassword,,2025-09-03 15:42:33,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
demo fruits,ZA,South Africa,,"Sitelinks, Thumbnail, Video preview",100,62,,0,0,31,https://www.betway.co.za/lobby/casino-games/slots,,2025-09-09 18:16:19,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
bonus no deposit,ZA,South Africa,,"Sitelinks, Video preview",100,82,0.5,0,0,78,https://www.betway.co.za/latestpromos,,2025-09-04 21:33:17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
